River,Point bar designation,CB name,State/Province/ Region,Basin or Location,Country,Continent,Designation,Latitude,Longitude,Age,Abandonment type,Channel-belt Character,Accretion dominance,No of channels,Channel Length (m),Channel width (m),Channel Area (km2),Channel W/T,Bar Area (km2),Amplitude (m),CB Width (2x Amplitude - m),Measured Channel-belt Width (m),Channel-belt 1/2 wavelength (m),Meander wavelength (2x 1/2 lambd,Long axis Length (m),Short Axis Length (m),Thickness (m),CB W/T,"CB
wavelength
/ thickness","CB 1/2
wavelength / amplitude",Bankfull Thickness Type,Mean Bankfull thickness (m),Maximum Bankfull thickness (m),Intermediate Bankfull Thickness (m),Eddy Accretion thickness (m),Contributing Drainage Area (km2),Contributing Drainage Basin Length - (km),Drainage Basin Length to CB from Baselevel (km),Valley Slope (*10-3),Channel Slope (*10-3),Sinuosity,Channel Distance from baselevel (km),Max catchment Relief (km),"Q
(bankfull) cms","Koeppen _ Climate
_class_ pointbar",Koeppen Climate class_ pointbar_simplified,"Koeppen climate_ class_simplified
_ptbar_wet/dry",Sources
Beatton,9,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.234,-121.342,Holocene,cut-off,Single Thread,Lateral - Translation,1,1770,70,0.120,10,0.280,630,1260,1539,540,1080,630,540,7,180,154,0.86,maximum,,7,,,"3,350",116,149,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 1975; Ft St. John, 1961-2007"
Beatton,10,Beatton,Britisch Columbia,Canada Foreland,Canada,NA,Mackenzie Tributive,57.215,-121.299,Holocene,cut-off,Single Thread,Lateral - Translation,1,2090,60,0.130,9,0.130,790,1580,1662,330,660,790,330,7,226,94,0.42,maximum,,7,,,"3,350",121,144,0.30,0.14,2.2,,0.4,556,Dfc,snow,,"Nanson, 1980; Hickin and Nanson, 1975; Ft St. John, 1961-2007"
Beaver,1,Beaver,Alberta,Canada Foreland,Canada,NA,Churchhill- Hudson Tributive,54.377,-110.718,Holocene,confined,Single Thread,Lateral - Translation,1,840,40,0.032,8,0.064,290,580,382,350,700,350,290,5,116,140,1.21,mean,5,8,,8.5,"14,500",268,"1,300",0.50,0.20,1.3,,,51.3,Dfb,snow,,Burge and Smith (1999); Nicoll and Hickin 09; ColdLake:Canada water Resource: 1955-2008
Brazos,1,Brazos,Texas,GOM,USA,NA,Brazos_Gulf Basin,29.581,-95.742,Holocene,cut-off,Single Thread,Lateral - Expansion,1,3380,90,0.300,6,1.100,990,1980,2289,2250,4500,2250,990,15,132,300,2.27,maximum,12,20,,,"118,000",970,84,0.25,0.13,2.0,,1.4,1275,Cfa,warm temperate,humid,"Bernard et al., 1970; Rosharon: 1967-2008"
Brazos,2,Brazos,Texas,GOM,USA,NA,Brazos_Gulf Basin,29.591,-95.738,Holocene,cut-off,Single Thread,Lateral - Expansion,1,2740,120,0.337,8,0.462,930,1860,2289,650,1300,930,650,15,124,87,0.70,,,,,,"118,000",970,84,0.25,0.13,2.0,,1.4,1275,Cfa,warm temperate,humid,"Bernard et al., 1970; Rosharon: 1967-2008"
Brazos,3692,Brazos,Texas,GOM,USA,NA,Brazos_Gulf Basin,29.565,-95.548,Holocene,cut-off,Single Thread,Lateral - Expansion,1,1617,70,0.068,5,0.206,640,1280,1288,387,774,640,387,15,85,52,0.60,maximum,,21,18,,"118,000",970,84,0.25,0.13,2.0,,1.4,,Cfa,warm temperate,humid,"Bernard et al., 1970; Rosharon: 1967-2008"
Colorado,1930,Delta,Texas,GOM,USA,NA,Gulf Basin,28.67352,-95.953668,Holocene,Backfill,Distributary,Vertical,1,,27,,18,,27,27,,142,284,,,2,18,189,5.26,mean,,,,,"103,341",,,,,,,,,,,,"Kanes, 1970"
Colorado,1930,Delta,Texas,GOM,,NA,Gulf Basin,28.669579,-95.949906,Holocene,Backfill,Distributary,Vertical,1,,39,,26,,39,39,,231,462,,,2,26,308,5.92,mean,,,,,"103,341",,,,,,,,,,,,"Kanes, 1970"
Colorado,1930,Delta,Texas,GOM,USA,NA,Gulf Basin,28.674175,-95.948284,Holocene,Backfill,Distributary,Vertical,1,,21,,18,,21,21,,71,142,,,1,18,118,3.38,mean,,,,,"103,341",,,,,,,,,,,,"Kanes, 1970"
Colorado,1930,Delta,Texas,GOM,USA,NA,Gulf Basin,28.663351,-95.955441,Holocene,Backfill,Distributary,Vertical,1,,88,,49,,88,88,,674,1348,,,2,49,749,7.66,mean,,,,,"103,341",,,,,,,,,,,,"Kanes, 1970"
Danube,Straubing 1,Danube,Hungary,Alps Molasse Basin,Hungary,EU,Alps Molasse Basin,48.911,12.572,Holocene,cut-off,Single Thread,Lateral - Expansion,1,,148,,25,,1423,2846,2611,1018,2036,,,6,474,339,0.72,maximum,6,6,,,"36,259",372,,0.25,0.13,1.3,,,982,Cfa,warm temperate,humid,"Buch and Heine, 1995; Hofkirchen Germany (River discharge database)"
Danube,Straubkng 2,Danube,Hungary,Alps Molasse Basin,Hungary,EU,Alps Molasse Basin,48.980,12.435,Holocene,cut-off,Single Thread,Lateral - Expansion,1,,194,,32,,1422,2844,2299,475,950,,,6,474,158,0.33,maximum,6,6,,,"36,259",372,,0.25,0.13,1.3,,2.327,982,Cfa,warm temperate,humid,"Buch and Heine, 1995; Hofkirchen Germany (River discharge database)"
Daule,1,Daule,Bolivia,Andes,Bolivia,SA,Andes,-1.905,-79.999,Holocene,cut-off,Single Thread,Lateral - Expansion,1,2950,140,0.416,23,0.600,1220,2440,2302,640,1280,1220,640,6,407,213,0.52,,,,,,"190,000",215,,0.45,0.27,1.7,,0.5,,Aw,equatorial,humid,"Smith, 1987"
Endrick,1,Endrick,Scotland,Scotland,Britain,EU,Scotland,56.057,-4.464,Holocene,cut-off,Single Thread,Lateral - Translation,1,760,20,0.017,7,0.024,240,480,481,170,340,240,170,3,160,113,0.71,maximum,3,5,,,250,30,,0.80,0.42,1.9,,0.5,19.33,Cfb,warm temperate,humid,"Bluck, 1971/ Bridge ea 95; 10% exceedance from SEPA"
Ganga,1,Ganga,India,Ganga Foreland,India,AS,Ganga Foreland,26.627,80.384,Holocene,cut-off,Single Thread,Lateral - Expansion,1,29020,840,24.000,93,73.000,11580,23160,,9600,,11580,9600,9,2573,0,0.83,mean,9,11,,,"98,000",658,255,0.17,0.06,3.0,,6.715,8500,Cfa,warm temperate,humid,"Sinha et al., 2007; Srivastava et a., 2003"
Indus,Thatta_1,Indus,India,Foreland,India,AS,Foreland,24.575,68.000,Holocene,cut-off,Single Thread,Lateral - Translation,1,,676,,36,,3058,6116,5936,3618,7236,,,19,322,381,1.18,unknown,,,,,"970,000","2,300",70,0.11,0.04,1.6,,5.182,20000,Bwh,arid,arid,"Clift et al., 2013; Clift et al., 2008"
Khoper,2,Khoper,Russia,Russia,Russia,AS,Russia,51.308,42.399,Holocene,cut-off,Single Thread,Lateral - Translation,1,2210,70,0.148,33,0.195,960,1920,3065,300,600,960,300,2,914,286,0.31,mean,2.1,4,,,"19,100",314,,0.49,0.29,1.7,,0.2,,Dfb,snow,,"Sidorchuk and Borisvota, 2000"
Khoper,1b,Khoper,Russia,Russia,Russia,AS,Russia,51.307,42.411,Pleistocene,cut-off,Single Thread,Lateral - Translation,1,10680,500,5.340,63,4.510,933,1866,2054,2833,5666,2833,933,8,233,708,3.04,mean,8,11,,,"19,100",314,,0.23,0.16,1.4,,0.2,,Dfb,snow,,"Sidorchuk et al., 2003"
Komadugu,Damaska_nw1,Komadugu,Chad Basin,Chad Basin,Nigeria,AF,Chad Basin,13.038,12.322,Holocene,cut-off,Single Thread,Lateral - Translation,1,4520,320,1.420,67,3.350,2730,5460,8588,1780,3560,2730,1780,5,1138,742,0.65,mean,4.8,,,,"150,000",564,145,0.17,0.11,1.6,,0.6,,Bwk,arid,arid,"Gumnior and Preusser 2007; Guminor and Thiemeyer, 2003"
Komadugu,Damaska_nw2,Komadugu,Chad Basin,Chad Basin,Nigeria,AF,Chad Basin,13.074,12.256,Holocene,cut-off,Single Thread,Lateral - Translation,1,7570,250,1.890,52,5.880,2430,4860,6827,3270,6540,3270,2430,5,1013,1363,1.35,mean,4.8,,,,"150,000",564,145,0.17,0.11,1.6,,0.6,,Bwk,arid,arid,"Gumnior and Preusser 2007; Guminor and Thiemeyer, 2003"
Komadugu,Gashua 1,Komadugu,Chad Basin,Chad Basin,Nigeria,AF,Chad Basin,12.840,11.059,Holocene,cut-off,Single Thread,Lateral - Translation,1,3570,120,0.429,29,1.050,1540,3080,3911,990,1980,1540,990,4,751,483,0.64,?,,,,,"98,000",414,294,0.12,0.07,1.6,,0.6,,Bwk,arid,arid,"Gumnior and Preusser 2007; Guminor and Thiemeyer, 2003"
Kootenay,1,Kootenay,Britisch Columbia,Columbia Tributitve,Canada,NA,Columbia Tributitve,49.727,-115.725,Holocene,confined,Single Thread,Lateral - Translation,1,3190,110,0.360,18,0.980,950,950,1193,1500,3000,1500,950,6,158,500,1.58,mean,6,10,,16,"7,120",332,,0.20,0.10,2.0,,,899,Dfc,snow,,"Burge and Smith, 1999; Nicoll and Hickin 2010; Canada water: Ft Steel: 1964-2008"
Little Snake  - Yampa,1,Little Snake,Colorado,Colorado R,USA,NA,Tributive,41.037,-107.570,Holocene,cut-off,Single Thread,Lateral - Translation,1,760,30,0.026,10,0.040,310,620,,160,320,310,160,3,207,107,0.52,mean,3,,,,"2,560",170,104,3.53,2.28,1.5,,,114,Dfb,snow,,"Andrews, 1980;  Dixon: 1979-1998"
Madison,M3,Madison,Montana,Mississippi Tributitve,USA,NA,Montana,44.719,-111.113,Holocene,cut-off,Single Thread,Lateral - Translation,1,580,30,0.018,7,0.023,176,352,,120,240,176,120,5,78,53,0.68,maximum,1,4.5,3,,1000,140,,1.13,0.57,2.0,,,34.6,Dfc,snow,,"Gawthorpe et al., 1993; Bridge et al., 1995; Alexander et al., 1994; USGS_Wyellowstone_1913-1997"
Madison,S13,Madison,Montana,Mississippi Tributitve,USA,NA,Montana,44.726,-111.155,Holocene,cut-off,Single Thread,Lateral,1,1090,30,0.029,40,0.037,113,226,,120,240,113,120,1,301,320,1.06,mean,0.75,,,,1000,140,,1.13,0.57,2.0,,,34.6,Dfc,snow,,"Gawthorpe et al., 1993; Bridge et al., 1995; Alexander et al., 1994; USGS_Wyellowstone_1913-1997"
Madison,S32,Madison,Montana,Mississippi Tributitve,USA,NA,Montana,44.725,-111.140,Holocene,cut-off,Single Thread,Lateral,1,810,20,0.015,11,0.038,130,260,,160,320,260,130,2,149,183,1.23,intermediate,,,,,1000,140,,1.13,0.57,2.0,,,34.6,Dfc,snow,,"Gawthorpe et al., 1993; Bridge et al., 1995; Alexander et al., 1994; USGS_Wyellowstone_1913-1997"
Magdaleana,2,Magdaleana,Columbia,Andes Foreland,Columbia,SA,Andes Foreland,9.441,-74.768,Holocene,cut-off,Single Thread,Lateral - Translation,1,10680,540,5.790,32,7.050,4010,4010,,1580,3160,4010,1580,17,236,186,0.39,mean,,,,,"257,000","1,174",300,0.05,0.04,1.2,,,9000,Aw,equatorial,,"Smith, 1986; Restrepo and Kjerfve 2000"
Magdalena,1,Magdalena,Columbia,Andes Foreland,Columbia,SA,Andes Foreland,9.441,-74.768,Holocene,cut-off,Single Thread,Lateral - Translation,1,13.115,540,7.140,32,20.300,4950,4950,,6340,12680,6340,4950,17,291,746,1.28,mean,,,,,"257,000",874,300,0.05,0.04,1.2,,,9000,Aw,equatorial,,"Smith, 1986; Restrepo and Kjerfve 2000"
Magdalena,Boquillas,,Columbia,Foreland,Columbia,SA,Foreland,9.114,-74.574,Holocene,avulsion,Anabranching,Downstream,1,5816,196,,10,,1520,1520,2228,2856,5712,,,19,80,301,1.88,mean,19,,,,"219,636",935,265,0.09,0.08,1.2,,3.3,,,,,"Smith, 1986; Restrepo and Kjerfve 2000"
Magdalena,Mompos,,Columbia,Foreland,Columbia,SA,Foreland,9.219,-74.402,Holocene,avulsion,Anabranching,Downstream,1,4019,216,,14,,509,1018,1277,2904,5808,,,16,64,363,5.71,mean,16,,,,"158,128",935,265,0.09,0.08,1.2,,3.3,,,,,"Smith, 1986; Restrepo and Kjerfve 2000"
Medjerda,1,Medjerda,Tunisia,Atlas,Tunisia,AF,Atlas,36.534,8.806,Holocene,cut-off,Single Thread,Lateral,1,2910,40,0.126,9,0.372,790,1580,,680,1360,790,680,5,351,302,0.86,maximum,,4.5,,,"22,000",236,,0.59,1.09,1.8,292,,,Csa,warm temperate,humid,"Faust et al., 2004; Zielhofer and Faust, 08; Milliman and Fansworth 2011"
Medjerda,2,Medjerda,Tunisia,Atlas,Tunisia,AF,Atlas,36.542,8.838,Holocene,cut-off,Single Thread,Lateral,1,2590,50,,11,0.332,1140,2280,,510,1020,1140,510,5,507,227,0.45,maximum,,4.5,,,"22,000",236,,0.59,1.09,1.8,,,,Csa,warm temperate,humid,"Faust et al., 2004; Zielhofer and Faust, 08; Milliman and Fansworth 2011"
Meuse,Meuse_GE_07_D_ptb ar1,Meuse,Germany,Rhine_Rift,Germany,EU,Rhine_Rift,51.751,5.218,Holocene,cut-off,Single Thread,,1,,338,,48,,1300,2600,,1150,2300,,,7,371,329,0.88,maximum,,7,,,"32,892",500,50,0.11,0.04,1.1,27,0.443,,Cfb,warm temperate,humid,"Gouw and Erkens, 2007"
Meuse,"Rhine_GE07_E_Maas
_ptbar1",Meuse,Germany,Rhine_Rift,Germany,EU,Rhine_Rift,51.797,5.039,Holocene,avulsion,Single Thread,,1,,340,,38,,530,1060,,2170,4340,,,9,118,482,4.09,maximum,9,,,,"160,778",898,50,,,,29,0.443,,Cfb,warm temperate,humid,"Gouw and Erkens, 2007"
Mississippi (USA),GrandLake,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,33.073,-91.192,Holocene,cut-off,Single Thread,Lateral - Expansion,1,15960,640,8.650,32,10.200,6630,13260,,6330,12660,6330,2280,20,670,639,0.95,,,,,,"2,896,455","2,784",,0.09,0.06,1.4,816,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Milliken Bend2,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,32.480,-91.062,Holocene,cut-off,Single Thread,Lateral - Translation,1,22749,1024,25.100,42,42.500,2623,5246,16038,10700,21400,10700,2623,24,215,878,4.08,,,,,,"2,928,599","2,898",,0.09,0.06,1.4,702.4,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Tallabena,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,32.297,-91.193,Holocene,cut-off,Single Thread,Lateral,1,21890,720,15.790,34,20.040,8000,16000,14767,4000,8000,8000,4000,21,750,375,0.50,,,,,,"2,928,599","2,922",,0.09,0.06,1.4,678.4,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Lake St Peter,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,31.852,-91.369,Holocene,cut-off,Single Thread,Lateral,1,13080,740,9.630,28,11.400,5930,11860,14905,2640,5280,5930,2640,27,447,199,0.45,,,,,,"2,942,692","2,987",,0.09,0.06,1.4,612.8,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Marengo,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,31.606,-91.463,Holocene,cut-off,Single Thread,Lateral,1,22610,720,16.200,26,22.100,8880,17760,14452,3900,7800,8880,3900,27,647,284,0.44,,,,,,"2,947,110","3,014",,0.09,0.06,1.4,585.6,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Glasscock,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,31.374,-91.538,Holocene,cut-off,Single Thread,Lateral,1,26990,970,26.100,32,37.200,11330,22660,13575,5280,10560,11330,5280,30,743,346,0.47,,,,,,"2,949,103","3,053",,0.09,0.06,1.4,547.2,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),BigIsland,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,31.196,-91.557,Holocene,cut-off,Single Thread,Lateral,1,23480,590,13.800,20,33.100,9400,18800,14919,4450,8900,9400,4450,29,649,307,0.47,,,,,,"2,952,872","3,083",,0.09,0.06,1.4,516.8,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Raccourci,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.875,-91.614,Holocene,cut-off,Single Thread,Lateral - Translation,1,31760,950,30.200,33,49.200,8270,16540,17043,8930,17860,8930,8270,29,571,617,1.08,,,,,,"3,194,756","3,123",,0.09,0.06,1.4,476.8,4.4,26026,Cfa,warm temperate,humid,"Saucier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),False ptbar,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.647,-91.414,Holocene,cut-off,Single Thread,Lateral,1,33190,770,25.700,23,80.800,12570,25140,22168,8630,17260,12570,8630,34,750,515,0.69,,,,,,"3,194,756","3,186",,0.09,0.06,1.4,414.4,4.4,26026,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Zachary,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.526,-91.242,Holocene,cut-off,Single Thread,Lateral - Translation,1,,710,,16,,7765,15530,9426,3338,6676,,,45,348,150,0.43,maximum,,45,,,"3,194,756","3,214",,0.03,0.02,1.8,386,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Baton_Rouge,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.251,-91.147,Holocene,avulsion,Single Thread,Lateral - Translation,1,,790,,19,,1798,3596,10472,16500,33000,,,41,87,799,9.18,maximum,,41,,,"3,194,756","3,232",,0.03,0.02,1.8,368,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
Mississippi (USA),Baton Rouge,Mississippi,LA,GOM,USA,NA,Mississippi_Gulf Basin,30.375,-91.200,Holocene,avulsion,Single Thread,Lateral - Translation,1,,740,,20,,8000,16000,10472,9950,19900,,,37,437,544,1.24,maximum,,37,,,"3,194,756","3,245",,0.03,0.02,1.8,355.2,4.4,,Cfa,warm temperate,humid,"Farrell, 1987; Sauc ier, 1969; Vicksburg: 1858-1999"
