id,x,y,thickness,net_sand,skew_GR,kurtosis_GR,skew_RES,kurtosis_RES,facies
91,5450,9991,35,25,0.440727632,2.243646067,0.121483554,1.624967264,2
92,15701,9818,35.5,31,0.181627947,1.374182263,0.264919841,1.552926101,1
93,8336,8348,26,12.5,-0.074310885,2.048242582,0.231413843,1.849927437,1
94,14774,11006,27.5,15,0.776114534,2.696851909,0.528586899,2.234829432,1
95,5951,9831,17,13,-0.503823085,2.103068512,0.676938892,2.251429867,1
96,12865,1336,22.5,0,0.097139188,2.205797859,-0.066688323,1.765007898,3
97,10313,11431,29,7,0.075396874,1.69641257,0.004881711,1.66259515,1
98,16228,3692,30,6.5,0.121759772,1.809603619,-0.202843536,2.025005098,2
99,10047,4314,30,2.5,0.204966653,1.994478562,-0.122258375,1.770329942,2
100,18749,3901,20.5,0,0.259194103,2.080384842,-0.169993682,1.87081518,3
101,10106,11014,24,10,-0.265795122,1.992731609,0.232963747,1.702852507,1
102,9912,11243,28.5,13.5,0.127167438,1.57493705,0.499932019,2.011264233,1
103,13020,5724,38,0,-0.096498827,1.905623374,0.035934011,1.815571198,3
104,14019,2208,25.5,0,-0.09534672,2.033856631,-0.095896396,1.813774089,3
105,12771,7522,36.5,0,0.063010328,1.785717491,-0.048544886,1.840738216,3
106,18094,3329,23.5,0,0.222444016,2.036739845,-0.074603368,1.749376654,3
107,14008,6636,30,0,0.082112865,1.726804704,-0.036923837,1.854885641,3
108,9871,661,25.5,0,-0.700136421,2.829030222,-0.001194948,1.560014172,4
109,11424,6519,24.5,6,0.136738547,2.203819636,-0.257801648,1.880181311,2
110,9278,1491,28.5,0,-0.017241085,2.369184997,0.057863508,1.640805785,4
111,19650,6576,14.5,0,0.176473917,1.936510803,-0.201197126,1.885971627,3
112,18767,6477,18,2.5,0.12055933,1.952755606,-0.237212991,1.944408984,2
113,10403,5596,25,0,-0.092048457,1.870545545,-0.101250566,1.813384789,3
114,19134,5817,18,0,0.307366915,2.012214443,-0.113617673,1.830523729,3
115,9424,8078,31,25,0.470517612,1.828829792,0.088185235,1.473330759,1
116,19776,7354,15.5,0,-0.006891705,1.947783481,-0.114037765,1.762838423,3
117,18364,7862,16.5,0,0.202580455,1.951755856,-0.13340685,1.831436401,3
118,18395,2009,28.5,11,-0.175838214,1.947440679,-0.474776809,2.040979283,2
119,16909,9930,21,0,0.293024854,2.011325982,-0.175671974,1.929644702,3
120,19161,5094,16,0,-0.172241174,2.183853888,0.055479566,1.781938289,1
121,20329,9562,18.5,0,0.278388395,2.075561123,-0.14147623,1.880195589,3
122,20472,10597,18.5,0,0.408534256,2.249130988,-0.177975183,1.819819044,3
123,12596,2447,24.5,0,0.110798107,1.841987737,-0.033069474,1.767736314,3
124,8564,3452,33.5,3.5,0.401161486,1.9720425,-0.178262303,1.868857644,2
125,15720,6591,29,0,0.273868575,1.850237284,-0.144894556,1.800461187,3
126,8587,4184,29,0,-0.562612078,2.237389809,0.482219631,1.929471183,4
127,16864,8368,21.5,4,0.202460472,1.971731941,-0.331327916,1.999360345,2
128,8964,5229,29.5,0,-0.970633735,3.524915924,0.678777619,2.367594547,4
129,10077,5381,25.5,1,-0.05327306,1.958586343,0.095331367,1.729965924,1
130,8486,11157,26.5,9,0.18586666,2.159004379,0.438631366,2.260815803,1
131,8083,3044,31.5,10,0.181497421,1.879218122,-0.334980762,1.972272451,2
132,10552,6595,10.5,0,0.151866136,1.857818279,0.167090149,1.684825445,1
133,22542,10080,14.5,0,0.127184211,2.178697103,-0.13185347,1.774339511,3
134,8215,5152,37.5,0,-0.462436425,2.725337957,0.439442934,1.68847492,4
